見出し,読み,原型,品詞,品詞細分類,意味情報,大見出し,中見出し,小見出し,見出し番号,文番号
かかって,かかって,かかる,動詞,*,代表表記:係る/かかる 名詞派生:係/かかり,,（上）事実,,0,7
飲み,のみ,飲む,動詞,*,代表表記:飲む/のむ ドメイン:料理・食事,,（上）事実,,0,7
ながら,ながら,ながら,助詞,接続助詞,NIL,,（上）事実,,0,7
、,、,、,特殊,読点,NIL,,（上）事実,,0,7
いつも,いつも,いつも,副詞,*,代表表記:何時も/いつも,,（上）事実,,0,7
の,の,の,助詞,接続助詞,NIL,,（上）事実,,0,7
往来,おうらい,往来,名詞,サ変名詞,代表表記:往来/おうらい カテゴリ:抽象物,,（上）事実,,0,7
に,に,に,助詞,格助詞,NIL,,（上）事実,,0,7
面した,めんした,面する,動詞,*,代表表記:面する/めんする,,（上）事実,,0,7
テーブル,てーぶる,テーブル,名詞,普通名詞,代表表記:テーブル/てーぶる ドメイン:料理・食事 カテゴリ:人工物-その他,,（上）事実,,0,7
に,に,に,助詞,格助詞,NIL,,（上）事実,,0,7
陣取って,じんどって,陣取る,動詞,*,代表表記:陣取る/じんどる,,（上）事実,,0,7
、,、,、,特殊,読点,NIL,,（上）事実,,0,7
ボンヤリ,ぼんやり,ボンヤリ,副詞,*,代表表記:ボンヤリ/ぼんやり スル接続可能,,（上）事実,,0,7
窓,まど,窓,名詞,普通名詞,代表表記:窓/まど カテゴリ:場所-施設部位 漢字読み:訓,,（上）事実,,0,7
の,の,の,助詞,接続助詞,NIL,,（上）事実,,0,7
外,がい,外,名詞,普通名詞,代表表記:外/がい カテゴリ:場所-機能 漢字読み:音,,（上）事実,,0,7
を,を,を,助詞,格助詞,NIL,,（上）事実,,0,7
眺めて,ながめて,眺める,動詞,*,代表表記:眺める/ながめる,,（上）事実,,0,7
いた,いた,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,,（上）事実,,0,7
。,。,。,特殊,句点,NIL,,（上）事実,,0,7
さて,さて,さて,接続詞,*,代表表記:さて/さて,,（上）事実,,0,8
、,、,、,特殊,読点,NIL,,（上）事実,,0,8
この,この,この,指示詞,連体詞形態指示詞,NIL,,（上）事実,,0,8
白梅,しらうめ,白梅,名詞,普通名詞,代表表記:白梅/しらうめ カテゴリ:植物,,（上）事実,,0,8
軒,のき,軒,名詞,普通名詞,代表表記:軒/のき ドメイン:家庭・暮らし カテゴリ:場所-施設部位 漢字読み:訓,,（上）事実,,0,8
の,の,の,助詞,格助詞,NIL,,（上）事実,,0,8
ある,ある,ある,動詞,*,代表表記:有る/ある 反義:形容詞:無い/ない 補文ト,,（上）事実,,0,8
Ｄ,Ｄ,Ｄ,特殊,記号,NIL,,（上）事実,,0,8
坂,さか,坂,名詞,地名,代表表記:坂/さか 地名:日本:広島県:町,,（上）事実,,0,8
と,と,と,助詞,格助詞,NIL,,（上）事実,,0,8
いう,いう,いう,動詞,*,代表表記:言う/いう 補文ト,,（上）事実,,0,8
の,の,の,名詞,形式名詞,NIL,,（上）事実,,0,8
は,は,は,助詞,副助詞,NIL,,（上）事実,,0,8
、,、,、,特殊,読点,NIL,,（上）事実,,0,8
