見出し,読み,原型,品詞,品詞細分類,意味情報,大見出し,中見出し,小見出し,見出し番号,文番号
です,です,だ,判定詞,*,NIL,,,,0,80
よ,よ,よ,助詞,終助詞,NIL,,,,0,80
。,。,。,特殊,句点,NIL,,,,0,80
まあ,まあ,まあ,副詞,*,代表表記:まあ/まあ 用言弱修飾,,,,0,81
、,、,、,特殊,読点,NIL,,,,0,81
こういった,こういった,こういった,指示詞,連体詞形態指示詞,NIL,,,,0,81
こと,こと,こと,名詞,形式名詞,NIL,,,,0,81
が,が,が,助詞,格助詞,NIL,,,,0,81
彼,かれ,彼,名詞,普通名詞,代表表記:彼/かれ カテゴリ:人 漢字読み:訓,,,,0,81
の,の,の,助詞,接続助詞,NIL,,,,0,81
趣味,しゅみ,趣味,名詞,普通名詞,代表表記:趣味/しゅみ ドメイン:レクリエーション カテゴリ:抽象物,,,,0,81
な,な,だ,判定詞,*,NIL,,,,0,81
んです,んです,んだ,助動詞,*,NIL,,,,0,81
ね,ね,ね,助詞,終助詞,NIL,,,,0,81
。,。,。,特殊,句点,NIL,,,,0,81
似た,にた,似る,動詞,*,代表表記:似る/にる 自他動詞:他:似せる/にせる,,,,0,82
ような,ような,ようだ,助動詞,*,NIL,,,,0,82
ので,ので,のだ,助動詞,*,NIL,,,,0,82
、,、,、,特殊,読点,NIL,,,,0,82
いっそう,いっそう,いっそう,副詞,*,代表表記:一層/いっそう,,,,0,82
不思議に,ふしぎに,不思議だ,形容詞,*,代表表記:不思議だ/ふしぎだ,,,,0,82
思わ,おもわ,思う,動詞,*,代表表記:思う/おもう 補文ト,,,,0,82
れた,れた,れる,接尾辞,動詞性接尾辞,代表表記:れる/れる,,,,0,82
の,の,の,名詞,形式名詞,NIL,,,,0,82
は,は,は,助詞,副助詞,NIL,,,,0,82
、,、,、,特殊,読点,NIL,,,,0,82
今度,こんど,今度,名詞,時相名詞,代表表記:今度/こんど カテゴリ:時間,,,,0,82
は,は,は,助詞,副助詞,NIL,,,,0,82
別段,べつだん,別段,副詞,*,代表表記:別段/べつだん,,,,0,82
部屋,へや,部屋,名詞,普通名詞,代表表記:部屋/へや ドメイン:家庭・暮らし カテゴリ:場所-施設,,,,0,82
が,が,が,助詞,格助詞,NIL,,,,0,82
薄暗い,うすぐらい,薄暗い,形容詞,*,代表表記:薄暗い/うすぐらい,,,,0,82
わけで,わけで,わけだ,助動詞,*,NIL,,,,0,82
も,も,も,助詞,副助詞,NIL,,,,0,82
なく,なく,ない,接尾辞,形容詞性述語接尾辞,代表表記:ない/ない,,,,0,82
、,、,、,特殊,読点,NIL,,,,0,82
彼,かれ,彼,名詞,普通名詞,代表表記:彼/かれ カテゴリ:人 漢字読み:訓,,,,0,82
の,の,の,助詞,接続助詞,NIL,,,,0,82
顔,かお,顔,名詞,普通名詞,代表表記:顔/かお カテゴリ:動物-部位 漢字読み:訓,,,,0,82
も,も,も,助詞,副助詞,NIL,,,,0,82
見えて,みえて,見える,動詞,*,代表表記:見える/みえる 自他動詞:他:見る/みる,,,,0,82
いて,いて,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,,,,0,82
、,、,、,特殊,読点,NIL,,,,0,82
そこ,そこ,そこ,指示詞,名詞形態指示詞,NIL,,,,0,82
へ,へ,へ,助詞,格助詞,NIL,,,,0,82
変てこな,へんてこな,変てこだ,形容詞,*,代表表記:変梃だ/へんてこだ,,,,0,82
、,、,、,特殊,読点,NIL,,,,0,82
ゴチャゴチャ,ごちゃごちゃ,ゴチャゴチャ,名詞,普通名詞,代表表記:ゴチャゴチャ/ごちゃごちゃ 自動獲得:テキスト 副詞識別,,,,0,82
と,と,と,助詞,格助詞,NIL,,,,0,82
した,した,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,,,,0,82
