表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー,章番号,文番号
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,象の鼻,0,461
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,象の鼻,0,461
ね,助詞,終助詞,*,*,*,*,ね,ネ,ネ,象の鼻,0,461
」,記号,括弧閉,*,*,*,*,」,」,」,象の鼻,0,461
「,記号,括弧開,*,*,*,*,「,「,「,象の鼻,0,461
いいえ,感動詞,*,*,*,*,*,いいえ,イイエ,イーエ,象の鼻,0,461
、,記号,読点,*,*,*,*,、,、,、,象の鼻,0,461
そう,副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,象の鼻,0,461
じゃ,助詞,副助詞,*,*,*,*,じゃ,ジャ,ジャ,象の鼻,0,461
あり,助動詞,*,*,*,五段・ラ行アル,連用形,ある,アリ,アリ,象の鼻,0,461
ませ,助動詞,*,*,*,特殊・マス,未然形,ます,マセ,マセ,象の鼻,0,461
ん,助動詞,*,*,*,不変化型,基本形,ん,ン,ン,象の鼻,0,461
。,記号,句点,*,*,*,*,。,。,。,象の鼻,0,461
お祖父さん,名詞,一般,*,*,*,*,お祖父さん,オジイサン,オジーサン,象の鼻,0,462
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,象の鼻,0,462
お,接頭詞,名詞接続,*,*,*,*,お,オ,オ,象の鼻,0,462
よみ,名詞,一般,*,*,*,*,よみ,ヨミ,ヨミ,象の鼻,0,462
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,象の鼻,0,462
なる,動詞,自立,*,*,五段・ラ行,基本形,なる,ナル,ナル,象の鼻,0,462
ん,名詞,非自立,一般,*,*,*,ん,ン,ン,象の鼻,0,462
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,象の鼻,0,462
。,記号,句点,*,*,*,*,。,。,。,象の鼻,0,462
眼鏡,名詞,一般,*,*,*,*,眼鏡,メガネ,メガネ,象の鼻,0,463
の,助詞,連体化,*,*,*,*,の,ノ,ノ,象の鼻,0,463
代り,名詞,一般,*,*,*,*,代り,カワリ,カワリ,象の鼻,0,463
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,象の鼻,0,463
なる,動詞,自立,*,*,五段・ラ行,基本形,なる,ナル,ナル,象の鼻,0,463
もの,名詞,非自立,一般,*,*,*,もの,モノ,モノ,象の鼻,0,463
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,象の鼻,0,463
、,記号,読点,*,*,*,*,、,、,、,象の鼻,0,463
僕,名詞,代名詞,一般,*,*,*,僕,ボク,ボク,象の鼻,0,463
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,象の鼻,0,463
作っ,動詞,自立,*,*,五段・ラ行,連用タ接続,作る,ツクッ,ツクッ,象の鼻,0,463
て,助詞,接続助詞,*,*,*,*,て,テ,テ,象の鼻,0,463
あげ,動詞,非自立,*,*,一段,連用形,あげる,アゲ,アゲ,象の鼻,0,463
ましょ,助動詞,*,*,*,特殊・マス,未然ウ接続,ます,マショ,マショ,象の鼻,0,463
う,助動詞,*,*,*,不変化型,基本形,う,ウ,ウ,象の鼻,0,463
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,象の鼻,0,463
って,助詞,格助詞,連語,*,*,*,って,ッテ,ッテ,象の鼻,0,463
いう,動詞,自立,*,*,五段・ワ行促音便,基本形,いう,イウ,イウ,象の鼻,0,463
