表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,大見出し,中見出し,小見出し,見出し番号,文番号
ます,助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,,（上）顕れたる事実,,0,232
。,記号,句点,*,*,*,*,。,。,。,,（上）顕れたる事実,,0,232
「,記号,括弧開,*,*,*,*,「,「,「,,（上）顕れたる事実,,0,233
いや,接続詞,*,*,*,*,*,いや,イヤ,イヤ,,（上）顕れたる事実,,0,233
もう,副詞,一般,*,*,*,*,もう,モウ,モー,,（上）顕れたる事実,,0,233
、,記号,読点,*,*,*,*,、,、,、,,（上）顕れたる事実,,0,233
あんた,名詞,代名詞,一般,*,*,*,あんた,アンタ,アンタ,,（上）顕れたる事実,,0,233
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,（上）顕れたる事実,,0,233
全く,副詞,助詞類接続,*,*,*,*,全く,マッタク,マッタク,,（上）顕れたる事実,,0,233
娘,名詞,固有名詞,一般,*,*,*,娘。,ムスメ,ムスメ,,（上）顕れたる事実,,0,233
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,（上）顕れたる事実,,0,233
生命,名詞,一般,*,*,*,*,生命,セイメイ,セイメイ,,（上）顕れたる事実,,0,233
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,（上）顕れたる事実,,0,233
親,名詞,一般,*,*,*,*,親,オヤ,オヤ,,（上）顕れたる事実,,0,233
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,,（上）顕れたる事実,,0,233
。,記号,句点,*,*,*,*,。,。,。,,（上）顕れたる事実,,0,233
わし,名詞,一般,*,*,*,*,わし,ワシ,ワシ,,（上）顕れたる事実,,0,234
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,,（上）顕れたる事実,,0,234
ここ,名詞,代名詞,一般,*,*,*,ここ,ココ,ココ,,（上）顕れたる事実,,0,234
で,助詞,格助詞,一般,*,*,*,で,デ,デ,,（上）顕れたる事実,,0,234
誓っ,動詞,自立,*,*,五段・ワ行促音便,連用タ接続,誓う,チカッ,チカッ,,（上）顕れたる事実,,0,234
とき,動詞,非自立,*,*,五段・カ行イ音便,連用形,とく,トキ,トキ,,（上）顕れたる事実,,0,234
ます,助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,,（上）顕れたる事実,,0,234
。,記号,句点,*,*,*,*,。,。,。,,（上）顕れたる事実,,0,234
将来,名詞,副詞可能,*,*,*,*,将来,ショウライ,ショーライ,,（上）顕れたる事実,,0,235
とも,助詞,副助詞,*,*,*,*,とも,トモ,トモ,,（上）顕れたる事実,,0,235
あんた,名詞,代名詞,一般,*,*,*,あんた,アンタ,アンタ,,（上）顕れたる事実,,0,235
の,助詞,連体化,*,*,*,*,の,ノ,ノ,,（上）顕れたる事実,,0,235
お,接頭詞,名詞接続,*,*,*,*,お,オ,オ,,（上）顕れたる事実,,0,235
頼み,名詞,一般,*,*,*,*,頼み,タノミ,タノミ,,（上）顕れたる事実,,0,235
